Name,Age,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Acquired,Pos Summary
Jose Abreu\abreujo02,31,128,553,9,0,-1,-4,-7,-3,-0.1,20,16,1.7,.497,.498,2.0,-1.0,20,$13000000,Amateur Free Agent,*3D
Tim Anderson\anderti01,25,153,606,-8,3,-1,0,8,2,0.5,22,24,2.5,.501,.501,2.4,1.0,24,$1000000,Amateur Draft,*6/D
Luis Avilan*\avilalu01,28,3,1,0,0,0,0,0,0,0.0,0,0,0.0,.496,.500,0.0,0.0,0,$2450000,Traded,1
Chris Beck\beckch02,27,4,1,0,0,0,0,0,0,0.0,0,0,0.0,.497,.500,0.0,0.0,0,,Amateur Draft,1
Aaron Bummer*\bummeaa01,24,4,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$549000,Amateur Draft,1
Welington Castillo\castiwe01,31,49,181,-1,0,-1,-2,3,-1,-0.1,6,5,0.6,.498,.499,0.7,0.1,7,$7250000,Free Agency,2/D
Xavier Cedeno*\cedenxa01,31,2,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,,Free Agency,1
Ryan Cordell\cordery01,26,19,40,-6,0,0,-1,0,-7,-0.8,1,-6,-0.6,.459,.495,-0.5,-0.1,-5,,Traded,/98
Dylan Covey\coveydy01,26,1,1,0,0,0,0,0,0,0.0,0,0,0.0,.488,.500,0.0,0.0,0,,Rule 5 Draft,1
Matt Davidson\davidma02,27,123,496,3,-1,-1,0,-8,-7,-0.5,18,11,1.1,.494,.496,1.0,-0.7,11,$570000,Traded,D35/1
Nicky Delmonico*\delmoni01,25,88,318,-7,-1,0,-6,-4,-18,-1.7,11,-7,-0.7,.479,.489,-0.1,-0.9,-1,$553000,Free Agency,7/3D
Adam Engel\engelad01,26,143,463,-18,2,1,1,3,-11,-1.0,17,5,0.6,.492,.493,0.4,0.6,4,$552000,Amateur Draft,*8/D
Jace Fry*\fryja01,24,3,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,,Amateur Draft,1
Carson Fulmer\fulmeca01,24,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$552000,Amateur Draft,/1
Avisail Garcia\garciav01,27,93,385,-1,-1,-1,-4,-4,-11,-1.0,14,3,0.3,.488,.493,0.6,-0.7,7,$6700000,Traded,9/D
Leury Garcia#\garcile02,27,82,275,-4,1,0,1,-1,-2,-0.1,10,8,0.8,.497,.498,0.7,0.1,6,$1175000,Traded,789/465
Dustin Garneau\garnedu01,30,1,3,1,0,0,-1,0,0,0.0,0,0,0.0,.461,.500,0.1,-0.1,1,,Waivers,/2
Lucas Giolito\giolilu01,23,3,6,-2,0,0,0,1,-1,-0.1,0,-1,-0.1,.476,.500,-0.1,0.0,-1,$555000,Traded,1
Alfredo Gonzalez\gonzaal04,25,3,9,-2,0,0,0,0,-2,-0.2,0,-1,-0.1,.447,.499,-0.1,0.0,-1,,Purchased,/2
Nate Jones\jonesna01,32,3,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$3950000,Amateur Draft,1
Ryan LaMarre\lamarry01,29,33,71,1,0,0,3,-1,4,0.4,3,6,0.6,.511,.502,0.3,0.3,3,,Waivers,7/98
Reynaldo Lopez\lopezre01,24,1,1,0,0,0,0,0,0,0.0,0,0,0.0,.488,.500,0.0,0.0,0,$555000,Traded,1
Juan Minaya\minayju01,27,2,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$558000,Waivers,1
Yoan Moncada#\moncayo01,23,149,650,-3,-2,1,-5,4,-4,-0.2,23,19,2.0,.497,.497,2.3,0.1,24,$555000,Traded,*4
Omar Narvaez*\narvaom01,26,97,322,10,-3,0,-5,5,7,0.8,12,18,1.9,.507,.504,2.3,0.1,23,$560000,Rule 5 Draft,2/D
Daniel Palka*\palkada01,26,124,449,7,-1,0,-11,-7,-11,-0.9,16,5,0.6,.491,.493,1.6,-1.7,16,,Waivers,D97
Bruce Rondon\rondobr01,27,5,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,,Free Agency,1
Jose Rondon\rondojo02,24,42,107,1,0,0,1,0,1,0.2,4,5,0.5,.503,.501,0.4,0.1,4,,Purchased,D6/543
Tyler Saladino\saladty01,28,6,9,0,0,0,0,0,0,0.0,0,0,0.0,.493,.500,0.0,0.0,0,,Amateur Draft,/5D
Yolmer Sanchez#\sanchca01,26,155,662,-8,-1,1,5,3,1,0.4,24,25,2.6,.501,.501,2.0,1.1,20,$2350000,Amateur Free Agent,*5/46D
Hector Santiago\santihe01,30,5,4,-1,0,0,0,1,-1,-0.1,0,-1,-0.1,.487,.500,-0.1,0.0,-1,$2000000,Free Agency,1
James Shields\shielja02,36,3,7,-1,0,0,0,1,0,0.0,0,0,0.0,.502,.500,0.0,0.0,0,$21000000,Traded,1
Matt Skole*\skolema01,28,4,13,1,0,0,-1,0,-1,0.0,0,0,0.0,.487,.500,0.1,-0.1,1,,Free Agency,/D3
Kevan Smith\smithke04,30,52,187,1,0,0,-6,3,-2,-0.2,7,5,0.5,.496,.499,1.1,-0.3,11,,Amateur Draft,2/D
Joakim Soria\soriajo01,34,3,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,,Traded,1
Trayce Thompson\thomptr01,27,48,130,-15,0,1,2,-2,-14,-1.4,5,-9,-0.9,.470,.491,-1.2,0.1,-11,,Traded,9/78
Charlie Tilson*\tilsoch01,25,41,121,-3,-1,1,-9,-1,-14,-1.3,4,-9,-0.9,.466,.491,0.0,-1.0,0,,Traded,7/8D
Chris Volstad\volstch01,31,4,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,,Free Agency,1
Team Total,26.5,1680,6071,-47,-3,0,-42,-5,-97,-7.6,216,119,12.9,.494,.497,15.8,-3.0,161,$66434000,,
